UserID,JobID,InteractionValue
674ee4a58d2b115f8c548bee,675ed3e294eb010841be7fb0,2
67262594f2a449b46938328d,6723ce79bed38cf51a3d9236,2
674ee4a58d2b115f8c548bee,6769886bb57da9aef18a9d16,2
674f03457fb24df03dbe9968,676ace5a5467e3e0a70e542f,2
67262594f2a449b46938328d,6723cab8dafa306eff88beb4,2
674f03457fb24df03dbe9968,675ed3e294eb010841be7fb0,2
674f03457fb24df03dbe9968,675ed9ef94eb010841be800f,2
674ee4a58d2b115f8c548bee,675ed3e294eb010841be7fb0,2
674ee4a58d2b115f8c548bee,675ed9ef94eb010841be800f,2
674f03457fb24df03dbe9968,6723ce79bed38cf51a3d9236,2
674f03457fb24df03dbe9968,6769886bb57da9aef18a9d16,2
674ee4a58d2b115f8c548bee,6723ce79bed38cf51a3d9236,2
674ee4a58d2b115f8c548bee,676a85bb5467e3e0a70e51bf,2
674f03457fb24df03dbe9968,676a85bb5467e3e0a70e51bf,2
67fc75f0098185ac922e7bf9,6769886bb57da9aef18a9d16,2
67fc75f0098185ac922e7bf9,675ed3e294eb010841be7fb0,2
67ff445339d77611f23c3909,676ace5a5467e3e0a70e542f,2
674f03457fb24df03dbe9968,676a85bb5467e3e0a70e51bf,1
674f03457fb24df03dbe9968,676ace5a5467e3e0a70e542f,1
674f03457fb24df03dbe9968,6723ce79bed38cf51a3d9236,1
